@RELATION EEG 
 
@ATTRIBUTE Alpha_1  NUMERIC 
@ATTRIBUTE Alpha_2  NUMERIC 
@ATTRIBUTE Beta_1  NUMERIC 
@ATTRIBUTE Beta_2  NUMERIC 
@ATTRIBUTE Gamma_1  NUMERIC 
@ATTRIBUTE Gamma_2  NUMERIC 
@ATTRIBUTE Delta  NUMERIC 
@ATTRIBUTE Theta  NUMERIC 
 
@ATTRIBUTE class  {Slika1,Slika2,Slika3} 

@DATA
2499,11236,4886,3892,5078,2084,76847,19477,Slika1
17078,50470,5668,12975,4943,2236,90719,8418,Slika1
15192,11164,4706,7073,5953,1863,13808,16096,Slika1
4087,25339,14690,9277,2878,2233,11584,40701,Slika1
14239,35762,39367,9553,2024,3920,9586,70815,Slika1
11323,14147,8267,3825,2638,2636,64294,32181,Slika1
7523,4351,7456,4851,3411,2162,24320,40885,Slika1
12691,8096,8350,9164,5762,2726,65478,11787,Slika1
22434,18164,11709,8622,2273,2059,96328,27639,Slika1
23948,17649,10855,7837,2900,2816,53947,30016,Slika1
5492,25699,4292,14540,7087,3070,30607,29357,Slika1
13419,5343,16272,5432,4616,1133,454552,62406,Slika1
27730,20920,6916,8326,2577,5818,94046,34545,Slika1
13168,4638,8468,5316,4090,2646,29686,8531,Slika1
4522,3356,3067,1630,2106,272,120503,6584,Slika1
9550,23062,14556,4394,1860,1507,4080,22546,Slika1
16717,30685,6251,7561,4362,2091,139763,12203,Slika1
11866,4078,16756,15968,1694,1782,85327,10472,Slika1
5561,4890,11499,4356,3974,2772,17760,11803,Slika1
4564,17113,10756,4641,2809,1474,25514,76293,Slika1
2597,4620,9251,5414,5529,3038,264213,26999,Slika1
4039,16271,5485,35248,13051,7568,13612,34029,Slika1
8241,24798,17908,3698,6320,5805,35070,29806,Slika1
25038,21207,7495,14143,8583,6438,238190,218650,Slika1
14532,23353,15591,4377,2270,1678,646634,20061,Slika1
9416,22256,38238,19519,14067,11954,32991,52042,Slika1
3671,8529,5495,3724,9698,3605,26845,33749,Slika1
8141,1429,6465,3370,3199,1052,81069,41874,Slika1
16290,9707,12126,8352,4851,5850,309682,33532,Slika1
30054,1499,15906,13944,9134,2736,90714,53049,Slika1
